Longitude,Latitude,Depth,OriginTime,Mag,x,y,z
 46.6840, 38.4540, 16.0000,2012-08-15T05:39:51.100000Z,  2.3000, -5.7610, 22.6467, 16.0000
 46.6410, 38.4130,  4.2000,2012-08-15T07:12:14.500000Z,  2.6000, -9.5198, 18.0991,  4.2000
 46.8600, 38.4290,  8.7000,2012-08-15T08:39:21.700000Z,  3.1000,  9.6050, 19.8753,  8.7000
 46.6940, 38.4340, 19.1000,2012-08-15T09:03:48.000000Z,  2.6000, -4.8895, 20.4260, 19.1000
 46.6810, 38.3620,  4.7000,2012-08-15T09:37:46.900000Z,  1.8000, -6.0305, 12.4345,  4.7000
 46.7800, 38.3490, 18.4000,2012-08-15T11:27:05.700000Z,  2.5000,  2.6224, 10.9896, 18.4000
 46.6920, 38.3650, 12.0000,2012-08-15T11:39:29.800000Z,  2.2000, -5.0689, 12.7669, 12.0000
 46.6670, 38.4410, 10.0000,2012-08-15T13:52:42.400000Z,  2.1000, -7.2462, 21.2049, 10.0000
 46.8020, 38.4880,  7.9000,2012-08-15T13:58:28.200000Z,  2.0000,  4.5369, 26.4201,  7.9000
 46.6870, 38.3780, 10.0000,2012-08-15T16:01:21.900000Z,  2.2000, -5.5049, 14.2102, 10.0000
 46.6660, 38.4070, 18.6000,2012-08-15T17:49:04.700000Z,  5.0000, -7.3370, 17.4308, 18.6000
 46.6480, 38.4330, 18.6000,2012-08-15T18:00:01.000000Z,  3.3000, -8.9060, 20.3185, 18.6000
 46.7070, 38.4510, 19.0000,2012-08-15T18:16:27.300000Z,  2.1000, -3.7536, 22.3125, 19.0000
 46.6730, 38.4170, 17.9000,2012-08-15T18:38:43.800000Z,  2.2000, -6.7246, 18.5403, 17.9000
 46.6640, 38.4120, 14.8000,2012-08-15T19:23:57.800000Z,  1.8000, -7.5112, 17.9860, 14.8000
 46.6820, 38.4260, 19.9000,2012-08-15T20:27:44.200000Z,  2.0000, -5.9379, 19.5387, 19.9000
 46.6750, 38.4040, 21.1000,2012-08-15T21:26:47.400000Z,  2.2000, -6.5511, 17.0971, 21.1000
 46.6430, 38.3760,  4.5000,2012-08-15T23:01:19.700000Z,  1.7000, -9.3499, 13.9917,  4.5000
 46.6530, 38.4280, 19.9000,2012-08-16T00:15:16.200000Z,  3.3000, -8.4700, 19.7630, 19.9000
 46.6560, 38.4260, 16.2000,2012-08-16T00:32:52.000000Z,  1.7000, -8.2083, 19.5407, 16.2000
 46.7570, 38.4320, 21.3000,2012-08-16T01:31:21.000000Z,  1.9000,  0.6112, 20.2026, 21.3000
 46.8440, 38.3840,  4.2000,2012-08-16T02:26:38.500000Z,  1.7000,  8.2130, 14.8785,  4.2000
 46.7630, 38.4870, 25.9000,2012-08-16T03:01:38.400000Z,  2.2000,  1.1342, 26.3079, 25.9000
 46.8280, 38.4050, 17.7000,2012-08-16T03:10:48.000000Z,  2.4000,  6.8131, 17.2083, 17.7000
 46.6760, 38.4520,  4.2000,2012-08-16T05:33:56.100000Z,  2.3000, -6.4595, 22.4252,  4.2000
 46.6870, 38.3910, 19.7000,2012-08-16T05:39:30.900000Z,  1.6000, -5.5039, 15.6532, 19.7000
 46.7850, 38.4780,  4.4000,2012-08-16T06:33:56.700000Z,  2.0000,  3.0541, 25.3094,  4.4000
 46.7080, 38.4420,  4.1000,2012-08-16T08:56:53.800000Z,  1.8000, -3.6667, 21.3134,  4.1000
 46.7200, 38.4260, 19.6000,2012-08-16T09:27:46.900000Z,  3.1000, -2.6197, 19.5369, 19.6000
 46.7110, 38.4340, 11.1000,2012-08-16T11:28:36.800000Z,  1.9000, -3.4052, 20.4253, 11.1000
 46.6990, 38.4180,  4.2000,2012-08-16T13:20:15.200000Z,  1.3000, -4.4539, 18.6497,  4.2000
 46.7120, 38.4110, 13.6000,2012-08-16T13:56:30.200000Z,  2.0000, -3.3189, 17.8721, 13.6000
 46.7380, 38.4510, 18.3000,2012-08-16T15:15:35.000000Z,  3.8000, -1.0475, 22.3117, 18.3000
 46.6890, 38.3720,  4.3000,2012-08-16T15:31:10.400000Z,  1.5000, -5.3306, 13.5441,  4.3000
 46.7410, 38.4580, 19.9000,2012-08-16T17:11:47.600000Z,  1.7000, -0.7856, 23.0887, 19.9000
 46.7310, 38.4360, 19.5000,2012-08-16T17:14:13.200000Z,  4.6000, -1.6589, 20.6467, 19.5000
 46.7030, 38.4320, 18.2000,2012-08-16T17:19:40.800000Z,  2.9000, -4.1038, 20.2036, 18.2000
 46.7300, 38.4400, 15.5000,2012-08-16T17:34:59.600000Z,  2.6000, -1.7461, 21.0908, 15.5000
 46.9160, 38.4410,  7.8000,2012-08-16T20:27:17.500000Z,  2.3000, 14.4925, 21.2146,  7.8000
 46.7450, 38.4460, 14.0000,2012-08-16T21:50:59.500000Z,  1.4000, -0.4365, 21.7566, 14.0000
 46.6410, 38.3910,  4.2000,2012-08-16T23:15:00.300000Z,  0.8000, -9.5227, 15.6570,  4.2000
 46.6410, 38.4160,  4.1000,2012-08-16T23:59:14.400000Z,  1.2000, -9.5194, 18.4321,  4.1000
 46.8550, 38.5110,  4.1000,2012-08-17T00:31:16.900000Z,  1.7000,  9.1581, 28.9772,  4.1000
 46.7880, 38.4020, 20.2000,2012-08-17T02:13:52.900000Z,  1.6000,  3.3193, 16.8731, 20.2000
 46.7860, 38.4270, 20.0000,2012-08-17T03:19:23.900000Z,  1.9000,  3.1436, 19.6481, 20.0000
 46.6910, 38.4570, 17.8000,2012-08-17T03:34:20.100000Z,  2.9000, -5.1498, 22.9793, 17.8000
 46.6900, 38.4200, 13.0000,2012-08-17T04:48:15.400000Z,  3.8000, -5.2398, 18.8722, 13.0000
 46.7700, 38.4210, 20.0000,2012-08-17T04:52:29.300000Z,  3.0000,  1.7466, 18.9817, 20.0000
 46.8430, 38.3910,  8.2000,2012-08-17T05:28:37.700000Z,  2.1000,  8.1249, 15.6555,  8.2000
 46.7770, 38.4040, 13.7000,2012-08-17T05:35:06.500000Z,  1.6000,  2.3584, 17.0948, 13.7000
 46.8860, 38.4170,  9.3000,2012-08-17T08:09:51.000000Z,  3.5000, 11.8773, 18.5462,  9.3000
 46.8130, 38.4390, 18.9000,2012-08-17T08:19:47.900000Z,  1.7000,  5.5003, 20.9815, 18.9000
 46.6430, 38.4180, 20.0000,2012-08-17T09:17:59.900000Z,  3.8000, -9.3445, 18.6539, 20.0000
 46.6810, 38.4360, 19.7000,2012-08-17T10:36:48.400000Z,  1.6000, -6.0244, 20.6488, 19.7000
 46.6960, 38.4360, 20.0000,2012-08-17T11:19:11.800000Z,  2.0000, -4.7147, 20.6480, 20.0000
 46.6400, 38.4390, 17.4000,2012-08-17T12:09:50.400000Z,  3.1000, -9.6037, 20.9853, 17.4000
 46.8790, 38.4210, 22.2000,2012-08-17T13:04:44.000000Z,  1.5000, 11.2653, 18.9894, 22.2000
