eid,code,phase,noise,wet
22,BST,S,0.000,0.000
22,GRMI,P,0.000,0.000
22,ORD,P,0.000,0.000
22,MRD,P,0.000,0.000
22,MRD,S,0.000,0.000
22,SHB,P,0.000,0.000
22,SHB,S,0.000,0.000
22,AZR,P,0.000,0.000
22,AZR,S,0.000,0.000
22,LRK,P,0.000,0.000
22,NAX,S,0.000,0.000
22,GLBA,P,0.000,0.000
22,GLBA,S,0.000,0.000
22,LKRN,P,0.000,0.000
22,SAAT,P,0.000,0.000
22,ZRD,P,0.000,0.000
22,ZRD,S,0.000,0.000
22,ZNJK,P,0.000,0.000
22,ZNJK,S,0.000,0.000
22,GNI,P,0.000,0.000
22,VANB,P,0.000,0.000
23,TVRZ,S,0.000,0.000
23,TAHR,P,0.000,0.000
23,TAHR,S,0.000,0.000
23,HRS,P,0.000,0.000
23,HRS,S,0.000,0.000
23,TABZ,P,0.000,0.000
23,TABZ,S,0.000,0.000
23,TBZ,P,0.000,0.000
23,TBZ,S,0.000,0.000
23,BST,P,0.000,0.000
23,BST,S,0.000,0.000
23,ORD,P,0.000,0.000
23,MRD,P,0.000,0.000
23,MRD,S,0.000,0.000
23,SRB,P,0.000,0.000
23,SRB,S,0.000,0.000
23,SHB,P,0.000,0.000
23,SHB,S,0.000,0.000
23,AZR,P,0.000,0.000
23,HSH,P,0.000,0.000
23,LRK,P,0.000,0.000
23,NAX,S,0.000,0.000
23,GLBA,P,0.000,0.000
23,ASTR,P,0.000,0.000
23,LKRN,P,0.000,0.000
23,BRDA,P,0.000,0.000
23,MAKU,S,0.000,0.000
23,ZRD,P,0.000,0.000
23,ZRD,S,0.000,0.000
23,GANJ,S,0.000,0.000
23,GNI,P,0.000,0.000
23,VANB,P,0.000,0.000
23,VANB,S,0.000,0.000
24,HRS,P,0.000,0.000
24,HRS,S,0.000,0.000
24,TABZ,P,0.000,0.000
24,TABZ,S,0.000,0.000
24,TBZ,P,0.000,0.000
24,BST,S,0.000,0.000
24,ORD,P,0.000,0.000
24,ORD,S,0.000,0.000
24,MRD,P,0.000,0.000
24,SHB,P,0.000,0.000
24,SHB,S,0.000,0.000
24,SRB,P,0.000,0.000
24,GRMI,P,0.000,0.000
24,HSH,P,0.000,0.000
24,NAX,P,0.000,0.000
24,NAX,S,0.000,0.000
24,SBZ,P,0.000,0.000
24,SBZ,S,0.000,0.000
24,GLBA,S,0.000,0.000
24,ASTR,P,0.000,0.000
24,LKRN,P,0.000,0.000
24,LKRN,S,0.000,0.000
24,MAKU,P,0.000,0.000
24,SAAT,P,0.000,0.000
24,SAAT,S,0.000,0.000
24,ZRD,S,0.000,0.000
24,GANJ,S,0.000,0.000
24,ZNJK,P,0.000,0.000
24,GNI,P,0.000,0.000
24,GNI,S,0.000,0.000
24,VANB,S,0.000,0.000
25,HRS,P,0.000,0.000
25,HRS,S,0.000,0.000
25,TAHR,P,0.000,0.000
25,FTB,P,0.000,0.000
25,TABZ,P,0.000,0.000
25,TABZ,S,0.000,0.000
25,TBZ,P,0.000,0.000
25,BST,P,0.000,0.000
25,SRB,P,0.000,0.000
25,SRB,S,0.000,0.000
25,ORD,P,0.000,0.000
25,MRD,P,0.000,0.000
25,MRD,S,0.000,0.000
25,SHB,P,0.000,0.000
25,AZR,S,0.000,0.000
25,HSH,P,0.000,0.000
25,HSH,S,0.000,0.000
25,LRK,P,0.000,0.000
25,LRK,S,0.000,0.000
25,NAX,S,0.000,0.000
25,SBZ,P,0.000,0.000
25,GLBA,P,0.000,0.000
25,LKRN,S,0.000,0.000
25,BRDA,S,0.000,0.000
25,SAAT,P,0.000,0.000
25,SAAT,S,0.000,0.000
25,MAKU,P,0.000,0.000
